Name                                                                                        Stmts   Miss  Cover
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/us/us_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/za/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/za/forms                          29      1    97%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/markup/__init__                                0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/markup/models                                  0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/markup/templatetags/__init__                   0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/markup/templatetags/markup                    46     16    65%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/markup/tests                                  45     10    78%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/redirects/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/redirects/admin                                8      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/redirects/models                              15      1    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/__init__                              0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/__init__                     0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/base                       164     15    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/cache                       39      7    82%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/cached_db                   24      8    67%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/db                          49      7    86%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/backends/file                        88     17    81%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/middleware                           27      4    85%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/models                               36     17    53%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sessions/tests                                 3      2    33%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sitemaps/__init__                             68     46    32%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sites/__init__                                 0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sites/admin                                    6      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sites/management                              11      1    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sites/models                                  46     10    78%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/sites/tests                                    0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/syndication/__init__                           0      0   100%
