Name                                                                                                                               Stmts   Miss  Cover
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/api                                  42      1    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/constants                             6      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/context_processors                    3      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/middleware                           11      1    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/models                                0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/__init__                     18      6    67%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/base                         81      5    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/cookie                       74      3    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/fallback                     33      2    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/session                      13      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/storage/user_messages                27      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/__init__                        5      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/base                          240      6    98%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/cookie                         53      2    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/fallback                       96      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/middleware                     10      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/session                        23      1    96%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/tests/user_messages                  45      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/messages/utils                                 6      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/redirects/__init__                             0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/redirects/admin                                8      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/redirects/models                              15      1    93%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/__init__                              0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/__init__                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/base                       164     14    91%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/cache                       39      5    87%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/cached_db                   24      8    67%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/db                          53      8    85%
/home/gdub/grad/2011/software measurement metrics/assignment3/2010-01-13/django/contrib/sessions/backends/file                        88     17    81%
